from,to,pos,ht,wt,dob,college
1992,1996,G,6-5,190,April 5, 1968,University of Illinois at Urbana-Champaign
2007,2018,G,6-0,185,June 26, 1984,Northeastern University
2007,2016,F-C,7-0,245,October 26, 1985,
1950,1952,G,6-2,185,January 15, 1921,University of Kentucky
1977,1979,C-F,6-11,225,March 11, 1955,University of Hawaii
1985,2000,F,6-6,252,February 20, 1963,Auburn University
2001,2002,G,6-1,177,February 21, 1978,St. John's University
1952,1955,F-C,6-6,200,March 31, 1923,University of California, Los Angeles
2013,2018,F,6-8,210,May 30, 1992,University of North Carolina
1969,1969,F,6-3,205,July 25, 1945,Northeastern University
1965,1971,C-F,6-8,210,April 13, 1941,University of Texas at El Paso
1975,1980,F-C,6-8,210,July 27, 1952,Providence College
2004,2017,F,6-7,226,March 9, 1980,University of California, Los Angeles
1960,1974,G-F,6-4,190,October 2, 1936,Tennessee State University
1967,1977,G-F,6-4,170,July 7, 1944,University of Oregon
1976,1976,G,6-3,175,January 29, 1953,University of Akron
1963,1972,G,6-1,180,March 20, 1938,Tennessee State University
1977,1977,G,6-4,205,July 15, 1953,Washington State University
1950,1954,F-G,6-4,190,May 11, 1924,University of Notre Dame
1947,1947,F,6-3,205,August 8, 1918,Pennsylvania State University
1973,1977,G,6-3,180,October 19, 1950,Duquesne University
1971,1971,G,6-4,195,June 19, 1944,Duquesne University
2005,2008,G,5-10,172,February 21, 1982,Seton Hall University
1954,1956,G-F,6-3,180,August 27, 1929,Kansas State University
1970,1973,G,6-2,155,September 5, 1943,West Virginia University Institute of Technology
2006,2015,C,7-0,250,August 14, 1981,University of Memphis
1990,2004,G,5-11,163,April 13, 1967,Boston College
1996,2009,G,6-6,185,December 31, 1971,Oregon State University
1998,2000,G,6-5,191,February 17, 1973,Georgia Institute of Technology
1993,2006,G,6-4,195,July 25, 1969,Georgia Institute of Technology
1966,1980,F,6-7,205,March 28, 1944,University of Miami
1950,1951,F,6-5,195,October 8, 1925,North Carolina State University
1972,1972,C,7-0,230,September 29, 1948,Oregon State University
2013,2018,G,6-6,175,January 6, 1991,University of Memphis
2006,2006,G,6-5,215,February 15, 1983,University of North Carolina at Charlotte
1976,1976,F,6-7,190,November 10, 1951,Temple University
2006,2017,F,6-8,250,April 30, 1985,Louisiana State University
1974,1980,F-C,6-8,225,April 1, 1951,University of Georgia
2003,2009,F,6-9,215,May 29, 1975,University of Michigan
2002,2004,C,6-11,290,November 20, 1975,
1980,1983,G,6-4,210,May 31, 1956,Kentucky State University
2006,2007,F-C,6-10,270,September 2, 1983,
2003,2003,F,6-8,225,November 21, 1977,Arizona State University
1998,2012,C-F,6-11,230,February 11, 1976,Texas Tech University
2002,2014,F,6-8,220,September 9, 1978,Duke University
1986,1995,G,6-2,175,November 9, 1962,Rutgers University
1990,1993,F,6-6,210,October 10, 1964,University of Illinois at Urbana-Champaign
1983,1984,C,6-10,240,March 26, 1956,University of Notre Dame
1975,1975,G-F,6-4,185,May 9, 1951,University of Cincinnati
2009,2017,F-G,6-8,200,December 14, 1988,
1970,1974,F,6-5,200,June 17, 1946,Temple University
1947,1947,G,5-10,170,October 7, 1918,Ohio University
2003,2006,F,6-8,260,January 27, 1979,University of Maryland
2009,2018,G,6-3,200,August 20, 1988,University of Arizona
1959,1972,F,6-5,225,September 16, 1934,Seattle University
1968,1968,F,6-6,235,July 28, 1942,University of Tennessee
2013,2018,C,6-10,260,December 9, 1986,Washington State University
1995,1995,G,6-2,168,March 16, 1965,
2013,2018,G-F,6-5,201,July 1, 1989,Old Dominion University
1951,1951,F,6-3,200,January 25, 1929,West Virginia University
2013,2018,G,6-5,207,June 28, 1993,University of Florida
1968,1968,C,6-9,200,April 27, 1942,Norfolk State University
1970,1979,G,6-3,185,May 4, 1947,University of Louisville
1950,1951,G,5-10,175,December 2, 1927,University of Kentucky
1968,1971,G-F,6-5,190,September 23, 1945,Southern Methodist University
2004,2004,F,6-10,237,May 17, 1980,University of North Dakota
1968,1974,F-C,6-9,225,February 5, 1944,Texas A&M University
2017,2018,G,6-5,196,November 26, 1996,Florida State University
2009,2018,F,6-9,235,January 9, 1989,Kansas State University
1963,1975,C,6-9,225,October 25, 1939,Prairie View A&M University
2010,2013,G,6-0,170,February 24, 1988,
1968,1977,C-F,6-9,225,January 25, 1945,University of Denver
1996,1999,G,6-1,190,May 27, 1971,University of Arkansas
1954,1961,G-F,6-4,190,December 11, 1931,University of Pennsylvania
1968,1973,F,6-7,205,January 12, 1942,Arizona State University
1947,1947,G-F,6-1,185,February 24, 1917,Duquesne University
1968,1971,F,6-7,205,June 26, 1944,Stanford University
1987,1993,C,7-0,225,December 14, 1963,University of Memphis
1947,1949,C-F,6-6,185,June 2, 1916,Long Island University
1974,1980,F-C,6-9,185,January 14, 1951,University of Minnesota
1952,1952,C,6-7,210,February 3, 1929,Bradley University
2008,2018,G-F,6-5,210,March 25, 1986,
2002,2011,G,6-3,200,March 12, 1979,Michigan State University
1974,1976,F,6-5,185,June 2, 1951,Drake University
2018,2018,F,6-9,224,January 7, 1995,University of Oregon
2001,2012,G,6-5,204,September 19, 1976,Florida International University
2004,2004,G,6-1,180,November 10, 1980,Boston College
1960,1961,G,6-0,180,September 13, 1932,North Carolina State University
1962,1975,C,6-11,225,July 24, 1939,Indiana University
2017,2018,F,6-6,210,July 4, 1994,Saint Joseph's University
1954,1957,F-G,6-3,185,November 18, 1930,University of Illinois at Urbana-Champaign
1975,1976,G,6-4,185,July 23, 1950,Jacksonville University
2017,2018,F,7-1,225,November 17, 1997,
2000,2010,F,6-11,202,January 30, 1981,
2015,2015,F,6-8,245,August 1, 1991,Towson University
1986,2000,C,7-0,250,November 22, 1964,Creighton University
1999,2003,G,6-6,200,February 24, 1978,Oregon State University
2014,2017,F,6-8,245,March 14, 1993,University of Nevada, Las Vegas
1995,1997,G,6-0,170,February 13, 1970,University of Notre Dame
1996,2000,F,6-6,235,August 1, 1973,Arizona State University
1976,1982,F,6-7,200,January 4, 1955,University of Pittsburgh
1969,1969,G,6-3,190,August 4, 1943,Winston-Salem State University
1993,1995,G,6-0,175,June 1, 1969,University of Wisconsin-Green Bay
1990,1992,F,6-7,210,February 9, 1965,University of Kentucky
1992,2001,F,6-8,220,May 9, 1968,University of Alabama
2012,2012,C,6-11,240,August 13, 1988,Oakland University
1978,1988,C,6-10,235,December 27, 1954,Indiana University
2017,2017,F,6-9,235,March 29, 1995,Providence College
1950,1950,G-F,5-11,175,November 22, 1926,Marquette University
1957,1957,C,6-8,210,July 16, 1932,University of Utah
1970,1970,F,6-8,210,April 2, 1945,Weber State University
1989,1989,F,6-8,205,October 6, 1964,San Jose State University
1987,1989,F,6-8,215,May 14, 1964,St. John's University
2017,2018,F,6-10,210,November 12, 1992,
1979,1980,G,5-11,165,November 29, 1956,California University of Pennslyvania
1996,2005,G,5-11,182,July 12, 1972,Georgia Institute of Technology
2013,2018,G,6-1,185,July 12, 1988,University of Arkansas
2015,2015,C,7-5,360,December 2, 1992,New Mexico State University
1968,1968,G,6-2,185,June 8, 1945,University of Connecticut
1957,1966,G,6-3,185,March 26, 1932,Bowling Green State University
1947,1947,G,5-11,175,January 14, 1922,Long Island University
1973,1981,G,6-1,185,November 24, 1949,University of California, Los Angeles
1999,2012,G,6-1,190,May 13, 1978,University of Arizona
1969,1969,G,6-1,175,August 12, 1945,North Carolina State University
2005,2014,C,6-11,240,April 2, 1986,
1956,1956,C,6-7,240,,Valparaiso University
1976,1979,F-G,6-7,215,December 26, 1953,University of Pennsylvania
1975,1975,F-C,6-9,215,August 31, 1952,Duquesne University
1998,2014,G,6-3,202,September 25, 1976,University of Colorado
1967,1978,G,6-3,180,November 24, 1943,Syracuse University
1987,1987,F,6-8,235,March 26, 1961,North Carolina Agricultural and Technical State University
2018,2018,C-F,6-9,220,September 28, 1992,University of Nevada, Las Vegas
2018,2018,G,6-6,197,July 3, 1994,University of California
1959,1959,F,6-6,210,February 2, 1935,University of Kentucky
1980,1992,F,6-9,220,December 7, 1956,Indiana State University
1978,1989,G,6-3,190,December 9, 1955,University of Houston
1949,1949,F,6-3,195,June 4, 1922,Washington State University
2012,2018,C-F,6-9,255,August 28, 1992,
2016,2018,F,6-10,240,May 9, 1988,
1986,1990,C,7-1,252,March 26, 1962,Indiana University
1949,1952,F-C,6-5,200,June 15, 1921,University of Kansas
1981,1981,G,6-5,185,November 12, 1957,Saint Joseph's University
2015,2018,C-F,6-9,250,November 22, 1991,University of Kansas
1971,1971,C,6-10,220,July 9, 1941,South Dakota State University
1982,1994,G,6-6,190,February 26, 1959,Kansas State University
1993,1993,F,6-6,250,June 27, 1970,Monmouth University
1985,1985,F,6-6,210,March 27, 1963,University of Wisconsin
1995,1995,G,6-0,190,February 25, 1968,Dartmouth College
1988,1988,G,6-4,170,February 15, 1965,Temple University
2010,2016,F-C,6-7,270,April 22, 1989,University of Pittsburgh
2004,2016,G,6-3,172,February 26, 1980,University of Maryland
2018,2018,G,6-4,197,October 4, 1996,Louisiana State University
2007,2007,G,6-0,205,September 8, 1983,Iowa State University
1962,1962,G,6-1,175,November 12, 1939,College of the Holy Cross
1991,1993,G,6-4,190,September 9, 1966,University of Texas at Austin
1993,1993,F,6-7,215,April 21, 1966,Louisiana State University
2006,2014,F,6-11,235,August 22, 1986,
1990,2002,G,6-0,180,March 20, 1967,University of Oklahoma
2011,2018,G,6-1,205,December 9, 1989,University of Kentucky
1951,1951,G,6-2,160,June 25, 1926,University of Arizona
1967,1976,F-C,6-9,207,April 16, 1944,University of Southern California
1948,1949,F-C,6-6,190,January 14, 1915,Temple University
1994,2004,F,6-9,240,January 4, 1969,University of Cincinnati
2001,2009,C,7-0,230,November 30, 1975,University of Pittsburgh
2014,2015,G,6-4,200,July 17, 1992,Marquette University
1982,1982,G,6-4,185,September 23, 1958,Oregon State University
1950,1953,G,6-0,170,February 25, 1924,Temple University
2005,2005,G,6-4,190,October 22, 1979,University of Cincinnati
1959,1965,G,6-4,200,July 8, 1933,University of Dayton
1969,1978,C,7-0,265,August 23, 1945,University of Tennessee
2004,2014,G-F,6-5,215,May 12, 1980,University of Kentucky
2018,2018,G,6-6,205,August 18, 1992,
2015,2018,G-F,6-8,216,April 18, 1989,
1988,2001,G,5-3,136,January 9, 1965,Wake Forest University
2006,2018,C,7-0,260,November 28, 1984,University of Utah
1998,2001,F,6-9,220,May 29, 1973,Auburn University at Montgomery
1986,1995,C,7-7,200,October 16, 1962,University of Bridgeport
1954,1954,F,6-5,205,August 21, 1931,Georgetown University
2017,2017,F,6-9,235,January 28, 1994,Weber State University
1958,1958,G,6-4,195,October 29, 1931,University of Minnesota
1962,1962,F,6-8,220,July 1, 1935,University of Illinois at Urbana-Champaign
1978,1978,G,6-2,175,July 27, 1954,University of Louisville
1993,1995,G,6-5,200,February 1, 1969,University of Minnesota
1997,1997,G,6-4,185,April 27, 1970,University of Nevada, Las Vegas
1965,1968,F,6-5,192,May 31, 1942,University of Cincinnati
1991,1996,F,6-8,215,June 8, 1968,Saint Louis University
2005,2016,F,6-10,235,April 5, 1980,University of Florida
1970,1970,C,6-10,230,July 20, 1945,Cheyney University of Pennsylvania
2016,2018,G,6-6,206,October 30, 1996,University of Kentucky
1996,1997,G,6-1,185,August 20, 1972,University of Missouri
2011,2018,F,6-8,228,November 25, 1987,Clemson University
2007,2010,F-C,6-10,237,November 21, 1984,University of Connecticut
1969,1981,G-F,6-2,200,September 6, 1946,Idaho State University
2000,2009,C,6-11,230,May 7, 1976,Pennsylvania State University
1998,1999,F,6-6,226,October 9, 1974,University of Maryland
1961,1971,F,6-8,215,April 26, 1937,Kansas State University
2003,2015,F-C,6-9,258,November 20, 1981,Duke University
2004,2005,C,7-0,240,September 13, 1980,Stanford University
1949,1950,F-C,6-5,200,June 29, 1927,Muhlenberg College
2000,2000,F,6-8,220,September 20, 1972,
1951,1951,C-F,6-8,220,July 25, 1924,Temple University
1950,1954,F,6-5,210,March 11, 1927,University of Denver
2004,2016,F-C,6-11,235,March 24, 1984,Georgia Institute of Technology
1978,1978,F,6-7,225,January 28, 1953,New Mexico State University
1980,1980,F,6-8,225,May 18, 1956,University of Maryland
1976,1984,F-C,6-9,220,October 2, 1953,University of South Carolina
2002,2004,C,7-0,257,May 20, 1978,Georgetown University
1950,1953,F-G,6-4,210,March 6, 1925,Western Michigan University
2000,2002,F,6-10,245,March 31, 1977,Old Dominion University
1997,2009,F,6-7,185,June 14, 1971,California State University, Fullerton
2000,2010,F,6-7,215,November 20, 1975,University of Iowa
1968,1970,F-C,6-8,220,July 7, 1940,Grambling State University
1989,1998,G-F,6-6,190,November 9, 1963,University of Oklahoma
1985,1995,C-F,7-1,235,March 17, 1961,University of Kentucky
1968,1968,C,6-10,215,March 21, 1939,University of Tennessee
2000,2002,G,6-5,195,June 11, 1973,University of Pennsylvania
1967,1972,C,6-10,230,March 19, 1943,Wichita State University
1996,1997,G,6-5,196,September 2, 1973,University of Colorado
1979,1979,G,6-1,175,May 21, 1954,University of Detroit Mercy
1973,1978,G,6-2,180,June 13, 1950,Oregon State University
1975,1975,F,6-5,195,March 25, 1952,Boston University
1999,2012,G,5-5,135,June 2, 1976,Eastern Michigan University
1950,1951,C,6-10,225,July 24, 1922,St. John's University
1979,1981,G-F,6-6,185,May 17, 1957,University of San Francisco
2007,2007,G,6-6,207,March 7, 1983,University of California, Los Angeles
1973,1975,G,6-1,175,August 1, 1950,University of Tulsa
2011,2012,F,6-10,230,October 9, 1987,Iowa State University
1965,1971,F,6-8,210,July 26, 1942,Ohio State University
1982,1982,F,6-6,215,October 30, 1959,Villanova University
1978,1980,F,6-6,190,October 16, 1953,Texas Southern University
2011,2018,G,6-2,180,November 26, 1990,University of Texas at Austin
1968,1968,G,5-11,165,June 16, 1941,
1968,1977,F-G,6-5,205,July 28, 1943,Princeton University
1982,1984,G,6-5,215,May 16, 1959,University of Wyoming
1980,1989,G-F,6-6,195,March 19, 1957,University of North Carolina
1974,1976,F,6-8,215,March 16, 1952,Northern Illinois University
1950,1950,G,6-3,175,September 24, 1928,Oklahoma State University
2002,2006,F-C,6-10,245,April 18, 1979,Villanova University
1994,2005,C,7-6,235,March 22, 1972,Brigham Young University
1997,1997,C-F,6-10,265,September 27, 1968,
1996,1996,F,6-8,230,March 24, 1970,Providence College
2004,2005,F,6-8,245,May 15, 1976,Xavier University
2000,2000,C,6-10,227,January 10, 1977,University of Arizona
1987,1990,F-G,6-7,185,November 17, 1963,University of Maryland
2000,2016,F,6-8,275,March 11, 1979,Duke University
1992,2002,G,5-11,180,May 20, 1970,University of Oregon
1950,1955,F-C,6-5,215,May 28, 1925,Michigan State University
1982,1983,C-F,6-10,220,September 24, 1958,Southern Methodist University
1966,1968,F,6-7,195,January 7, 1942,Elon University
1953,1953,G,6-1,170,February 3, 1931,New York University
1978,1986,G,6-2,185,October 17, 1955,Stanford University
1948,1962,G-F,6-5,180,September 25, 1927,Colgate University
1995,1998,F,6-7,215,September 19, 1970,University of Wyoming
2003,2004,G,6-2,185,September 19, 1980,St. Bonaventure University
1959,1959,F,6-6,205,September 23, 1936,University of North Carolina
1955,1955,F,6-3,195,August 6, 1930,Villanova University
1984,1994,C,7-3,230,October 11, 1960,University of Minnesota
2008,2018,F-G,6-9,186,March 5, 1986,University of Florida
2002,2005,G,6-4,184,November 19, 1980,Auburn University
1974,1982,F-C,6-9,210,December 3, 1951,University of Minnesota
1979,1986,G,6-4,180,September 16, 1955,University of Arkansas
2007,2014,G-F,6-7,220,March 20, 1985,University of Arkansas
2002,2010,C,7-2,252,October 2, 1979,
1950,1956,G,6-1,180,May 1, 1923,Louisiana State University
1985,1997,F-C,6-9,240,August 14, 1959,Pennsylvania State University
1976,1987,F-G,6-5,210,September 17, 1953,University of Louisville
1963,1975,F-C,6-6,228,April 4, 1939,University of Kansas
1947,1947,F,6-2,195,September 22, 1923,University of Charleston
1947,1947,F,6-4,175,December 31, 1923,Dartmouth College
1970,1975,F-G,6-5,210,June 15, 1947,University of Toledo
1974,1983,F-G,6-7,210,August 23, 1951,Virginia Polytechnic Institute and State University
1968,1968,G,6-4,190,April 18, 1944,Johnson C. Smith University
1978,1978,G,6-2,185,August 31, 1952,University of Michigan
1986,1987,C,7-0,235,June 21, 1963,University of South Carolina
1981,1981,G,6-4,180,August 29, 1958,Texas A&M University
2010,2012,F,6-7,255,March 20, 1987,University of Washington
1982,1983,G,6-4,185,February 24, 1958,West Virginia Wesleyan College
2017,2018,G,6-5,215,December 11, 1992,University of Virginia
1975,1978,G,6-4,178,January 11, 1954,University of Notre Dame
1949,1950,F-G,6-4,185,May 11, 1920,West Texas A&M University
1971,1971,F,6-4,190,,Temple University
2008,2018,G,6-0,161,January 14, 1985,University of Oregon
2018,2018,G-F,6-6,220,January 22, 1996,University of Oregon
1992,1994,F,6-6,200,October 12, 1969,University of Louisiana at Lafayette
2012,2014,G-F,6-5,200,January 26, 1989,Providence College
1981,1988,F,6-7,220,August 17, 1958,La Salle University
1989,1998,G,5-11,165,July 31, 1965,University of California, Irvine
2007,2009,F,6-9,245,May 12, 1981,DePaul University
2016,2017,F-G,6-7,210,October 10, 1992,Stanford University
1949,1950,F,6-4,205,November 12, 1923,Miami University
2009,2018,G,6-2,175,September 24, 1984,California State University, Fullerton
1990,2002,F,6-7,214,February 29, 1968,North Carolina State University
